Main.food.description	X261	X262	X1571	X1572	X3241	X3242	X16971	X16972	X23381	X30341	X30671	X30672	X30791	X30792	X32061	X32062	X32831	X32981	X33191	X33192	X33982	X34491	X51271	X51272	X51722	X52131	X52471	X52472	X53002	X53821	X53822	X53861	X53862	X54551	X54552	X54631	X58961	X58962	X59471	X59472	X60461	X60462	X60511	X60512	X65442	X66761	X66762	X92291	X92292	X93962	X94531	X94532	X95501	X95502	X95672	FoodCode	ModCode	Old.Main.food.description	FoodID
Horlicks	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0.5	0	0	0	0	0	0	0	0	0.5	0	0	11520000	0	Horlicks	11520000.0
IceCream	1	1	1	1	0.5	0.5	0.5	1	7	1	1	0	0.5	1	0	0	0	0.5	0	0	0.5	0.5	0.5	3	0	0.5	0	0.5	0.5	1	1	0.5	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0.5	0	3	0.5	0	0.5	0	0.5	13110000	0	IceCream	13110000.0
Jam	7	3	3	7	0.5	0	0	7	0	7	7	0.5	3	7	3	0.5	7	3	18	3	0	0	3	5.5	1	1	1	3	7	1	1	0.5	0	0	0.5	0.5	0	1	0.5	0.5	1	3	3	7	0	1	0.5	3	0	0	7	7	1	0.5	7	91402000	0	Jam	91402000.0
JustRightType	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57221650	0	JustRightType	57221650.0
LactoseFreeMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11114300	0	LactoseFreeMilk	11114300.0
Lasagne	0	0	0	0	0.5	0.5	0.5	0.5	0	0	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0.5	1	1	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0.5	0	0.5	58130011	0	Lasagne	58130011.0
Leeks	0	1	1	3	1	3	0.5	0	0	0.5	0	0	1	0	0.5	0.5	0	0	0	0.5	0	0	0.5	1	0.5	0	0.5	0.5	0.5	3	1	0.5	0	5.5	0	0.5	3	0	1	0.5	0	0.5	1	0.5	0	1	3	1	0.5	3	0	0	0.5	0	0	75112500	0	Leeks	75112500.0
Liqueurs	1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	93201000	0	Liqueurs	93201000.0
Lowcalsaladcream	3	1	0	0	0	0.5	0.5	0	0	0	1	0	3	0	3	1	0	1	1	0	0.5	1	0	5.5	0	3	3	0	0	0	0	3	0	1	0	0	0	0	0	0.5	0	3	0.5	0	0	0	0	0.5	0	0	0.5	0	1	0	0	83200100	0	Lowcalsaladcream	83200100.0
LowFatHotChoc	0	0	0.5	0	0	3	0	0	0	3	0	0	0.5	0	0	0	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11513150	0	LowFatHotChoc	11513150.0
LowFatSpread	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81104010	0	LowFatSpread	81104010.0
Marmite	0	0.5	7	3	0.5	0	0	0	0	0	0.5	0	1	0	7	1	0	3	0	0	0	0.5	3	5.5	0	0	0.5	0	1	0	0.5	0	0	0.5	0	7	0.5	0	0	0.5	0	0	0.5	0	3	0	0	3	0	0	0	0	0	0	0.5	75236500	0	Marmite	75236500.0
Marrow	0.5	1	0	0	1	3	0.5	0	0	0.5	0	0	3	0.5	5.5	0.5	0	1	0.5	1	0	0	0.5	0	0.5	0	0.5	0.5	0.5	1	1	0.5	0	3	0	3	0	0	0.5	0	0	0.5	1	1	0	5.5	3	1	3	1	0.5	0	0.5	0	0	75233000	0	Marrow	75233000.0
Mayo	0	0	0	0	0.5	0	1	1	0	0	1	0.5	0	0.5	0.5	0	1	0	0	0	1	0	1	0	0	0	0	3	0	0	3	0	0	0.5	0	0	0.5	3	0	0	0	0	0	0	0.5	0	0	0.5	0	3	0	0	1	0	0	83107000	0	Mayo	83107000.0
MeatSoup	0	0	0	1	0	0.5	0.5	0	1	3	0	0.5	0.5	0.5	0	0	0.5	0.5	0	1	1	0	0	1	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0	1	27311610	0	MeatSoup	27311610.0
Melon	3	0.5	0.5	0.5	0	0	0	0	0	1	1	0	0	0	0	0.5	7	3	0	1	1	0.5	1	1	3	0	0	0.5	0	0	0.5	0.5	0	5.5	0	0	5.5	0.5	0.5	0.5	0.5	1	3	0.5	3	0.5	3	0	1	0	1	0	0.5	0.5	0	63127010	0	Melon	63127010.0
MFBacon	0.5	0.5	0	1	0	0	1	3	0.5	0	1	0	3	3	0.5	0.5	1	1	0.5	0	1	0.5	1	0.5	0	1	1	0.5	1	1	1	1	0.5	3	0.5	0	0.5	1	0.5	0.5	0.5	1	0.5	0.5	1	0	0	1	0.5	0	0	0	0.5	1	0.5	22600200	0	MFBacon	22600200.0
MFBeef	0.5	1	0	3	0.5	3	0.5	1	1	1	1	1	1	1	1	0.5	1	3	0.5	0.5	0	1	1	3	1	1	3	0	1	5.5	1	1	0.5	7	0.5	0.5	3	3	1	1	1	1	1	0.5	3	0	0	0.5	1	0	0	1	1	0	3	21000100	0	MFBeef	21000100.0
MFburgers	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	1	27510500	0	MFburgers	27510500.0
MFCornedBeef	0.5	0	0	3	0	0	0	0	0.5	0	0	0	0	1	0	0.5	0.5	0	0	0	0	0	0.5	1	1	0	0	0.5	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0	1	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0	21416000	0	MFCornedBeef	21416000.0
MFFishFingers	0	0	0	1	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	1	1	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0	0	0.5	0.5	0	1	0	0	0	0	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0.5	0	26100130	0	MFFishFingers	26100130.0
MFFishroe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	26209100	0	MFFishroe	26209100.0
MFFriedfish	0	0	0	0.5	0	0.5	0.5	1	3	0.5	1	0	0	0	1	0.5	0	0	0	1	1	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0	1	0	0	0	1	0	0	0.5	0	1	0.5	0.5	0	0	0	0	0.5	0	0.5	1	0	0	26100140	0	MFFriedfish	26100140.0
MFHam	0.5	0	1	3	0	3	3	1	0.5	0	0	0.5	3	1	0	1	1	1	1	0.5	3	0	0.5	1	3	0.5	0.5	0.5	3	3	1	1	0	0.5	0.5	0	1	3	0	1	1	3	0.5	0.5	1	0	0	1	0.5	0	0	0	0.5	1	1	22311000	0	MFHam	22311000.0
MFLamb	0.5	0.5	0	0.5	0.5	0.5	0	0.5	1	0	0.5	0.5	1	0.5	0.5	0.5	1	0	0	0	0	0.5	0.5	0.5	0.5	0	1	0.5	0.5	1	1	0.5	0	0	0.5	0.5	0.5	0	1	0.5	1	1	0.5	0	0	0	0	0.5	0.5	0	0	3	1	0	1	23000100	0	MFLamb	23000100.0
MFLiver	0	0	0	1	0	0	0.5	0.5	0	0	0	0	3	0.5	0	0	0	0	0	0	0.5	0.5	0.5	1	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0.5	25112200	0	MFLiver	25112200.0
MFOilyfish	0.5	3	0	1	3	3	1	0	0.5	1	0.5	0.5	0.5	0.5	1	1	0	0.5	1	1	3	3	0.5	0.5	3	0	0.5	3	1	0.5	3	0	0	0.5	0	1	0.5	1	1	1	1	1	0	0	0.5	0	3	0.5	0.5	3	0	0.5	1	0.5	0.5	26153110	0	MFOilyfish	26153110.0
MFPies	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0.5	1	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	1	0	0	0	0.5	0	0	0.5	0	0	0	1	0.5	0	1	27317010	0	MFPies	27317010.0
MFPork	0.5	1	0	0	0	0.5	3	1	0.5	0	0.5	1	1	1	1	0.5	0	0	0	0.5	0	0.5	0.5	0	0.5	0	0.5	0	0.5	0.5	1	1	0	1	0	0.5	0.5	1	0	0.5	0.5	1	1	0	0	0	0	0.5	0.5	0	0	1	1	0	1	22000100	0	MFPork	22000100.0
MFPoultry	3	0.5	3	3	1	3	3	1	1	1	3	3	3	3	3	0.5	1	3	1	5.5	3	3	1	1	1	1	1	3	3	3	1	3	3	1	1	0.5	3	3	1	1	3	1	3	0.5	3	0	0	1	1	0	0	1	3	1	1	24100000	0	MFPoultry	24100000.0
MFSausages	0.5	0	0	0	0	0.5	1	1	0	0	0.5	1	0	1	0.5	0.5	1	0	0.5	0.5	1	0	1	1	0	0	0.5	0.5	1	0	0.5	0.5	0	0.5	1	0	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0	0.5	25221400	0	MFSausages	25221400.0
MFShellfish	1	0	0	0	0.5	0.5	0.5	0.5	0	0	1	0	0	0	1	0.5	0.5	0	0	1	1	3	0.5	0.5	1	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0	1	0.5	3	0	0	0.5	0	0	26305110	0	MFShellfish	26305110.0
MFWhitefish	1	1	0	0.5	1	1	1	0.5	0.5	1	0.5	0	0.5	0	1	0.5	0.5	0	0.5	1	0.5	0.5	0.5	0.5	3	0.5	3	3	1	0.5	0.5	0	0	0	0	0.5	0.5	0	0	1	1	0	0.5	0.5	0.5	0	0	0.5	0.5	3	0	0	0.5	0.5	1	26109110	0	MFWhitefish	26109110.0
MilkPuddings	0	3	0.5	3	0.5	0	0.5	0	1	0.5	0.5	0.5	0.5	1	0	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0.5	0	0.5	0	0.5	0	0	0.5	0	0	1	5.5	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	13210300	0	MilkPuddings	13210300.0
Muesli	0	0	0	0	0.5	7	0	0	0	1	7	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	1	7	0	0	0	1	0	0	0	1	0	0	1	7	0	0	7	3	0.5	3	0	0	0	7	0	3	57227000	0	Muesli	57227000.0
Mushrooms	1	0	3	3	1	3	1	1	0.5	0.5	1	1	0.5	0.5	1	0.5	0	0.5	0.5	0.5	1	1	1	3	7	0.5	1	0.5	1	1	1	0	0	0.5	0.5	1	0	3	0	0.5	0.5	1	0.5	0	5.5	5.5	1	3	1	3	0.5	0.5	1	0.5	1	75115000	0	Mushrooms	75115000.0
NaanPoppdmTort	0	0	1	0	0.5	0	0.5	0	0	0	0.5	0	0.5	1	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	3	0	0.5	1	1	0	0	1	0	0	0	0	0	0	0.5	0	1	0	0.5	0	0	0.5	0.5	0	0	51108100	0	NaanPoppdmTort	51108100.0
Nuts	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42110000	0	Nuts	42110000.0
NutsSalted	0	0	0	0	0.5	0.5	0	1	0	0	1	0	0	0.5	0	0.5	1	0	0	0	0	0.5	0	0	0	1	0	0	0.5	0	0	0	0	0	0	0	1	0.5	0	0	0.5	0	3	0	1	0	0	1	1	0.5	0	0	7	0	0	42111100	0	NutsSalted	42111100.0
NutsUnsalted	0	3	0	0	3	7	0.5	0.5	0	0	0.5	0	0	0	3	0.5	0	0	0.5	7	0	0	0	0	0	1	0	1	0.5	7	3	3	0	0	0	0.5	0	0	0	0.5	0.5	0	0.5	0	0.5	3	0.5	1	1	0	0	0	7	0	0	42111110	0	NutsUnsalted	42111110.0
OatBasedCereal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57000100	0	OatBasedCereal	57000100.0
OatMilk	0	0	0	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.333333	0	0	0	0	0	0	0	0	0	0	0	0	11340000	0	OatMilk	11340000.0
OliveOilSpread	0	0	7	7	0	1	0	0	0	0	3	0.5	0	0	0	0	0	0	0	0	3	0	1	0	18	0	3	5.5	0	0	5.5	0	0	0	1	0	5.5	0	0	0	0	0	0.5	0	0	0	0	0	0	7	0	0	0.5	0	0	81104510	0	OliveOilSpread	81104510.0
OnePercentMilk	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11114300	0	OnePercentMilk	11114300.0
Onions	0.5	3	1	0	3	3	1	1	1	3	3	3	3	3	3	3	0	5.5	3	3	5.5	3	0.5	1	3	1	3	1	1	3	3	3	0	5.5	0.5	7	3	5.5	0	0.5	0	3	3	1	5.5	3	3	1	3	7	5.5	0.5	1	0	0	75117020	0	Onions	75117020.0
Oranges	0.5	3	0.5	0	5.5	3	0	1	7	3	1	3	0	0	5.5	5.5	0	3	0.5	0	5.5	1	3	3	0	0	5.5	1	0	0	0.5	1	0	3	1	3	7	0	0	3	3	3	7	3	5.5	3	0	3	0.5	0.5	7	0	3	3	3	61119010	0	Oranges	61119010.0
OtherCereal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57000000	0	OtherCereal	57000000.0
Otherdressing	0.5	0	0	0	0	1	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	3	0.5	0	0.5	7	3	0	0	3	0	0.5	0.5	0	1	0	0	1	0	0	0	0	0.5	0	0	0	0.5	5.5	0	0	3	0	0.5	0.5	0	0	83100100	0	Otherdressing	83100100.0
OtherSoftMarg	0	0	0	0	0	0	0	0	0	0	0	18	0	32	0.5	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81102000	0	OtherSoftMarg	81102000.0
Parsnips	0.5	1	1	1	3	1	1	0	0.5	0	0	0.5	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0	0.5	1	1	0	0.5	1	0	0	1	1	0	0	0.5	0.5	0.5	1	0.5	1	1	0.5	1	3	0.5	0.5	3	1	1	1	1	1	0.5	0.5	0	1	75222000	0	Parsnips	75222000.0
Peaches	1	6	0.16666667	0	1	0.16666667	0	0	0.33333333	0.33333333	0.16666667	2.3333333	1	0.16666667	0.16666667	0	2.3333333	0.33333333	0.16666667	1	0	0.16666667	0.16666667	0.33333333	0	0.16666667	0	1	0	0	0	0.16666667	0.16666667	1.8333333	0	0.33333333	0	0.16666667	0.16666667	0.16666667	1	0.33333333	1.8333333	0.33333333	1.8333333	0.33333333	1	0.16666667	1	0.33333333	1.8333333	0.16666667	1	2.3333333	0	63135010	0	Peaches	63135010.0
PeanutButter	0.5	3	0	0	1	0	0.5	0.5	0	0	3	0	0	0	0	0	0.5	3	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0	5.5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	42202000	0	PeanutButter	42202000.0
Pears	3	5.5	3	0	1	0.5	0	1	7	0.5	1	0	0	0.5	0.5	1	0	0	0	1	3	0.5	1	0.5	0	0.5	3	0	7	0	0.5	1	0	5.5	1	0.5	0.5	3	0	3	3	7	1	0.5	3	0.5	3	0	0.5	0.5	1	0	3	7	3	63137010	0	Pears	63137010.0
Peas	1	3	3	3	3	0.5	5.5	1	1	3	7	7	3	3	3	1	1	3	3	1	3	3	1	1	1	0	0.5	0	1	1	1	3	1	1	0.5	0	3	3	0	0.5	0.5	1	1	0.5	5.5	0	1	0	1	5.5	5.5	0	1	0	5.5	75120000	0	Peas	75120000.0
PicklesChutney	0.5	0	1	3	0	0.5	0	1	0.5	0	3	0.5	1	3	0.5	0	0	3	1	0.5	1	0.5	0.5	0.5	0	1	0.5	0	3	0	1	1	0.5	0	0	0	0.5	0	0.5	0	0.5	0.5	1	0	0	3	0	0.5	0	0.5	3	0.5	0.5	0	0	63409020	0	PicklesChutney	63409020.0
Pizza	0	0	3	0.5	0	0	0	0.5	1	0	1	0	3	1	0.5	0	0.5	0.5	0	0	0.5	0	1	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0.5	0.5	0	0	58106200	0	Pizza	58106200.0
Porridge	7	7	0.5	0	7	0	0.5	3	0	5.5	7	7	0.5	7	0.5	0.5	0	7	3	7	0	3	1	0	0	0	3	5.5	3	7	7	1	0	0.5	0.5	7	1	0.5	5.5	0.5	0	0.5	1	5.5	0	0	3	1	0.5	0.5	7	1	7	0.5	7	56202960	0	Porridge	56202960.0
PotatoSalad	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	1	0.5	0	71603010	0	PotatoSalad	71603010.0
PufaMarg	18	0	0	0	0	7	1	0	0	0	0	0	18	0	0.5	3	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	5.5	0	0.5	0	0.5	0	0	0	0	7	18	0	0	0	0	81103060	0	PufaMarg	81103060.0
PureFruitJuice	0	0	3	7	0	7	7	3	1	0	0.5	0	0	0.5	1	0.5	0	0	1	3	1	0.5	0.5	0.5	0.5	3	0	0.5	0.5	3	0	0	0	0.5	1	0	7	0	3	1	1	7	7	0	3	3	0	1	3	3	0	0	1	0	7	64100110	0	PureFruitJuice	64100110.0
Quiche	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	1	0	0.5	0.5	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0.5	0	0	58125110	0	Quiche	58125110.0
RedFatButter	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5.5	0	0	7	0	0	0.5	0	0	7	0	0	3	0	3	0	0	3	0	0	1	0	0	0	0	1	0	0	7	7	3	0	0	18	0	0	0	0	0	0	0	81101500	0	RedFatButter	81101500.0
RedWine	1	3	0	0	5.5	5.5	5.5	0	0	3	5.5	0.5	0.5	1	0.5	3	0.5	0	0	0	0	3	1	0	5.5	0	3	0	3	3	3	0	0	0	18	3	0	0	0	0	0	0.5	0.5	0.5	0	0	0.5	1	1	18	0	3	1	0	0.5	93401010	0	RedWine	93401010.0
RiceKrispies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57339000	0	RiceKrispies	57339000.0
RiceMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11340000	0	RiceMilk	11340000.0
RoastPotatoes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71104000	0	RoastPotatoes	71104000.0
Sauces	18	3	1	1	1	3	1	1	0	1	3	7	3	3	1	3	0	0.5	1	0	1	3	0.5	1	0.5	0.5	3	1	5.5	1	3	3	0	0.5	0	1	1	5.5	1	0	5.5	5.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	5.5	1	0.5	0	3	14650100	0	Sauces	14650100.0
Seeds	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.5	0	1	0	0	0	0	0.5	0	0	0.5	7	0	0	0	0	0	7	0	0.5	3	5.5	0.5	0	0	0	0	3	0	0	43102100	0	Seeds	43102100.0
SemiSkimmedMilk	0	7	3.5	0	0	3.5	1.75	0	3.5	0	3.5	5.25	3.5	3.5	3.5	5.25	0	0	0	1.75	5.25	0	1.75	0	1.75	3.5	3.5	0	0	0	1.75	0	0	1.75	0	3.5	2.625	7	3.5	3.5	3.5	3.5	0	0	1.75	0	0	0	1.75	0	3.5	0	1.75	5.25	5.25	11112110	0	SemiSkimmedMilk	11112110.0
ShreddedWheat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57417000	0	ShreddedWheat	57417000.0
Shreddies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57411000	0	Shreddies	57411000.0
SkimmedMilk	3.5	0	0	1.75	0	0	0	0	0	1.75	0	0	0	0	0	0	3.5	3.5	0	0	0	5.25	0	5.25	0	0	0	0	3.5	0	0	5.25	0	0	0	0	0	0	0	0	0	0	2.333333	0	0	0	0	1.75	0	3.5	0	1.75	0	0	0	11113000	0	SkimmedMilk	11113000.0
Smoothies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0.5	0	1	0	0	0.5	0	0	11553000	0	Smoothies	11553000.0
SoyaMilk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25	0	0	0	0	0	0	0	0	0	11320000	0	SoyaMilk	11320000.0
SpecialK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57344000	0	SpecialK	57344000.0
Spinach	0	0	0.5	0	1	1	1	0	0.5	3	1	0.5	0.5	0	0.5	0.5	0	0	0	1	5.5	0	0	0	1	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	1	0.5	0	1	0.5	3	0.5	0.5	0.5	3	3	3	0.5	0.5	3	1	5.5	1	0	0	72125100	0	Spinach	72125100.0
Spirits	0	0	0	0	1	0.5	0	0	0	0	0	1	5.5	5.5	0.5	0	0.5	0	0	0	0	3	0.5	0	0.5	1	5.5	0	0.5	0	0.5	0.5	0	0	0	0	3	0	0	0	0	0	0	1	0.5	0	0	0.5	0	0.5	0	0	1	0	0.5	93505000	0	Spirits	93505000.0
SpongePudhome	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	53116020	0	SpongePudhome	53116020.0
SpongePudready	0	0	0	0.5	0	0	0.5	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	53116020	0	SpongePudready	53116020.0
Start	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57144000	0	Start	57144000.0
Strawberries	1.8333333	1.8333333	1	1.8333333	1	2.3333333	0.33333333	0.16666667	2.3333333	0.33333333	2.3333333	1	1	1	1	1	2.3333333	0.33333333	2.3333333	1.8333333	1.8333333	0.16666667	1	2.3333333	2.3333333	0.33333333	0.33333333	2.3333333	0.16666667	0	0.33333333	1	0.33333333	1	0.16666667	0.33333333	1.8333333	0.16666667	0	0.33333333	1	0.33333333	1.8333333	1	1.8333333	6	2.3333333	0.16666667	1.8333333	0.33333333	1	0.16666667	1	0.16666667	0.33333333	63223020	0	Strawberries	63223020.0
SugarAdded	0	0	7	18	0	0	18	0	0	0	7	0	5.5	32	0	0.5	0	0	0.5	0	0	0	0	0	7	0	0	0	0	0	18	0	0	18	1	0	0	42	3	0	0	0	0	0	0	7	0	7	7	18	0	0	18	7	0	91101000	0	SugarAdded	91101000.0
