seqn	sddsrvyr	ridstatr	riagendr	ridageyr	ridagemn	ridreth1	ridreth3	ridexmon	ridexagy	ridexagm	dmqmiliz	dmqadfc	dmdborn4	dmdcitzn	dmdyrsus	dmdeduc3	dmdeduc2	dmdmartl	ridexprg	sialang	siaproxy	siaintrp	fialang	fiaproxy	fiaintrp	mialang	miaproxy	miaintrp	aialanga	wtint2yr	wtmec2yr	sdmvpsu	sdmvstra	indhhin2	indfmin2	indfmpir	dmdhhsiz	dmdfmsiz	dmdhhsza	dmdhhszb	dmdhhsze	dmdhrgnd	dmdhrage	dmdhrbr4	dmdhredu	dmdhrmar	dmdhsedu
63648	7	2	2	31	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	71034.153987	71525.773464	1	101	7	7	1.55	5	5	1	2	0	2	31	1	4	1	2
63651	7	2	2	76	NA	5	6	2	NA	NA	2	NA	2	1	6	NA	1	1	NA	1	2	1	1	2	2	1	2	1	NA	13446.397433	13865.38304	1	93	3	3	0.82	2	2	0	0	2	1	80	2	5	1	1
63652	7	2	1	28	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	1	2	1	2	2	1	1	2	NA	16995.648055	19983.260181	1	96	12	12	NA	7	7	1	0	1	2	59	1	3	1	1
63653	7	2	2	19	NA	2	2	1	19	229	2	NA	2	2	3	12	NA	NA	NA	2	2	2	1	2	2	2	2	1	2	12712.538972	12956.930724	2	93	4	4	0.56	5	5	0	0	0	2	49	2	2	5	NA
63657	7	2	1	30	NA	5	6	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	21280.199633	23174.199432	1	97	14	14	4.5	3	3	1	0	0	1	30	1	5	1	5
63659	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	36810.071228	39501.597518	1	95	14	14	5	1	1	0	0	1	1	80	1	3	2	NA
63661	7	2	2	46	NA	3	3	1	NA	NA	2	NA	2	1	4	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	30747.096519	32457.841726	2	91	2	2	0.44	3	3	0	1	0	1	46	2	3	1	4
63662	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	33707.673642	36318.620408	2	95	10	10	4.3	2	2	0	0	2	1	80	1	5	1	4
63663	7	2	2	42	NA	1	1	1	NA	NA	2	NA	2	2	4	NA	1	4	2	2	2	2	1	2	2	NA	NA	NA	NA	32208.300114	32376.263659	1	102	4	4	0.67	4	4	0	1	0	1	23	2	4	5	NA
63664	7	2	1	58	NA	5	7	1	NA	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	18916.732604	18939.145414	2	91	9	9	5	1	1	0	0	0	1	58	1	5	3	NA
63665	7	2	1	56	NA	2	2	1	NA	NA	2	NA	2	1	7	NA	3	5	NA	2	2	2	1	2	2	2	2	1	2	23431.677775	27795.676997	2	93	14	14	2.91	6	6	2	0	1	2	74	NA	NA	2	NA
63666	7	2	2	79	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	30880.887565	31700.101057	1	98	3	3	1.12	1	1	0	0	1	2	79	1	3	2	NA
63673	7	2	1	43	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	126789.52929	126463.833097	1	101	6	6	0.97	7	7	2	1	0	1	43	1	2	1	NA
63678	7	2	2	22	NA	2	2	2	NA	NA	2	NA	1	1	NA	NA	2	5	2	1	2	2	2	2	2	1	2	2	1	32537.532358	33640.063825	2	90	1	1	0.22	3	3	0	1	0	2	48	2	2	5	NA
63680	7	2	1	54	NA	1	1	2	NA	NA	2	NA	2	2	3	NA	1	1	NA	2	2	2	2	2	2	2	2	2	2	22446.308035	23586.645568	2	94	7	7	1.04	7	7	0	3	0	1	37	2	1	1	3
63683	7	2	1	53	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	29181.414565	29257.589647	1	94	3	3	0.39	6	6	1	0	2	1	80	1	4	1	3
63684	7	2	2	54	NA	4	4	1	NA	NA	1	1	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	17364.980275	22918.553497	2	93	7	7	2.78	2	2	0	1	0	2	54	1	4	3	NA
63685	7	2	2	60	NA	2	2	1	NA	NA	2	NA	2	2	5	NA	4	1	NA	2	2	2	1	2	2	2	2	2	2	12437.053229	13000.378144	3	91	5	5	0.89	4	4	0	2	2	1	61	2	3	1	4
63687	7	2	1	69	NA	4	4	1	NA	NA	1	2	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	11761.359913	11893.852645	1	92	14	14	5	2	2	0	0	2	1	69	1	5	1	5
63689	7	2	2	66	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	93265.413087	97732.118213	2	98	15	15	5	2	2	0	0	2	2	66	1	3	1	1
63690	7	2	1	29	NA	5	6	2	NA	NA	2	NA	2	2	3	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	12971.121387	14034.473347	1	93	15	15	5	2	2	0	0	0	1	29	2	5	1	5
63691	7	2	1	21	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	2	6	NA	1	2	2	2	2	2	1	2	2	1	40899.412129	44211.773156	1	94	5	5	0.57	7	7	2	1	0	1	58	2	1	1	1
63692	7	2	2	22	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	5	2	1	2	2	1	2	2	1	2	2	1	30275.274308	30259.77569	2	101	4	2	0.6	2	1	0	0	0	2	22	1	4	5	NA
63699	7	2	2	47	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	18462.756377	18592.086302	1	99	6	6	1.46	3	3	0	0	1	2	80	NA	NA	2	NA
63700	7	2	1	40	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	4	NA	1	2	2	1	2	2	1	2	2	1	17602.101156	21123.738865	1	96	14	14	2.19	7	7	0	2	0	1	39	1	2	1	3
63701	7	2	1	55	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	145790.86143	146040.776498	1	90	15	15	5	4	4	0	1	0	2	53	1	5	1	5
63704	7	2	2	75	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	NA	14534.533756	15040.28544	1	96	12	12	NA	3	3	0	0	2	1	77	NA	NA	6	NA
63707	7	2	2	63	NA	2	2	1	NA	NA	2	NA	2	1	8	NA	3	3	NA	1	2	2	1	2	2	1	2	2	2	9048.366564	9718.651548	2	93	9	9	4.92	1	1	0	0	1	2	63	2	3	3	NA
63708	7	2	1	63	NA	5	6	1	NA	NA	2	NA	2	1	8	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	13133.86792	13808.275718	2	102	8	8	1.72	5	5	0	2	1	1	63	2	5	1	5
63713	7	2	1	52	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	6	NA	1	2	2	1	2	2	1	2	2	1	127000.852889	126845.993399	2	92	15	15	5	2	1	0	0	0	1	52	1	5	6	NA
63714	7	2	1	48	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	87954.465296	88343.63479	2	97	15	15	4.97	5	5	1	0	0	1	48	1	4	1	3
63717	7	2	2	50	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	37070.062227	37637.166459	1	92	1	1	0.03	2	2	0	1	0	2	50	1	4	3	NA
63718	7	2	2	50	NA	2	2	2	NA	NA	2	NA	2	1	5	NA	3	2	NA	1	2	2	1	2	2	1	2	2	1	30543.825378	35038.368904	2	91	2	2	0.86	1	1	0	0	0	2	50	2	3	2	NA
63719	7	2	1	21	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	34099.599202	34629.549705	1	94	5	5	0.74	5	5	1	1	0	2	24	1	3	1	4
63723	7	2	2	62	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	14204.126838	15256.34028	3	92	5	5	1.56	2	2	0	0	1	1	58	1	3	1	2
63724	7	2	1	33	NA	1	1	1	NA	NA	2	NA	2	2	3	NA	3	1	NA	2	2	2	2	2	2	NA	NA	NA	NA	51543.062078	51154.050295	3	92	3	3	0.52	5	5	2	1	0	2	29	2	1	1	3
63729	7	2	1	50	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	6	NA	1	2	2	1	2	2	1	2	2	1	160904.289966	160708.090054	1	97	15	15	3.89	5	5	0	2	0	1	50	1	4	6	NA
63732	7	2	1	60	NA	2	2	2	NA	NA	2	NA	2	1	8	NA	3	1	NA	1	2	2	1	2	2	1	2	2	2	5185.036848	5649.75477	2	90	7	7	0.89	7	7	1	3	3	1	60	2	3	1	3
63733	7	2	2	58	NA	2	2	1	NA	NA	2	NA	2	1	7	NA	4	4	NA	1	2	2	1	2	2	1	2	2	1	23297.357076	24139.998866	2	93	9	9	2.6	4	4	0	0	0	2	58	2	4	4	NA
63734	7	2	1	43	NA	5	7	2	NA	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	32980.717958	32895.997285	1	95	2	2	0.6	1	1	0	0	0	1	43	1	4	3	NA
63736	7	2	1	36	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	30631.476666	31783.189579	2	101	6	6	1.54	3	3	0	1	0	2	34	1	4	1	3
63738	7	2	1	46	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	19260.892847	19199.459573	2	97	5	5	0.76	5	5	0	0	0	2	50	1	4	5	NA
63739	7	2	2	71	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	2	2	NA	1	2	2	1	2	2	1	2	2	NA	12863.404053	17087.605763	2	90	2	2	0.31	5	5	0	2	1	2	71	1	2	2	NA
63741	7	2	1	72	NA	1	1	1	NA	NA	1	2	1	1	NA	NA	3	6	NA	1	2	2	1	2	2	1	2	2	NA	21815.897449	24704.366996	3	92	5	4	1.39	2	1	0	0	2	2	63	NA	NA	3	NA
63742	7	2	2	20	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	5	3	1	1	2	1	2	2	1	1	2	NA	87944.345504	91474.433025	2	98	10	10	3.78	3	3	0	0	0	1	53	1	3	1	4
63744	7	2	2	50	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	196995.351093	202246.928022	1	91	15	15	5	3	3	0	1	0	1	52	NA	NA	1	5
63749	7	2	2	43	NA	5	6	1	NA	NA	2	NA	2	1	5	NA	4	1	2	1	2	1	1	2	1	1	2	1	3	9145.761989	9194.124252	2	92	10	8	2.01	7	4	1	1	1	2	27	2	3	1	3
63750	7	2	2	20	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	4	5	2	1	2	2	1	2	2	1	2	2	1	23845.8146	22808.13483	1	98	12	1	0.27	4	1	0	0	0	1	21	1	4	6	NA
63752	7	2	1	60	NA	3	3	1	NA	NA	1	2	1	1	NA	NA	3	3	NA	1	2	2	1	2	2	1	2	2	1	25436.904729	28576.794771	1	94	3	3	1.25	1	1	0	0	1	1	60	1	3	3	NA
63753	7	2	1	33	NA	1	1	1	NA	NA	2	NA	2	2	3	NA	3	6	NA	2	2	2	2	2	2	2	2	2	2	34438.924452	34835.654759	1	100	8	3	0.68	6	3	1	0	0	1	33	2	3	6	NA
63754	7	2	2	46	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	99120.116925	102640.158973	2	98	15	15	5	4	4	0	2	0	2	46	1	4	1	NA
63759	7	2	1	56	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	90969.330762	95023.624595	1	99	14	14	4.86	3	3	0	1	0	1	56	1	5	1	5
63761	7	2	2	21	NA	2	2	1	NA	NA	2	NA	2	1	2	NA	3	1	2	1	2	2	1	2	2	1	2	2	1	40149.982555	39975.11173	2	103	7	7	2.64	2	2	0	0	0	2	21	2	3	1	3
63762	7	2	1	23	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	34128.92969	36973.759081	1	92	5	5	1.15	3	3	1	0	0	1	23	1	4	1	4
63765	7	2	1	80	NA	3	3	1	NA	NA	1	1	1	1	NA	NA	1	2	NA	1	1	2	1	2	2	1	1	2	NA	24952.423186	27719.90048	2	98	14	14	4.64	3	3	0	0	1	1	49	1	3	1	9
63766	7	2	2	54	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	163102.567998	164787.083347	1	99	15	15	5	2	2	0	0	0	1	54	1	3	1	4
63767	7	2	1	66	NA	1	1	1	NA	NA	2	NA	2	1	7	NA	1	6	NA	2	2	2	1	2	2	1	2	2	2	11019.434708	11290.181976	3	91	4	4	1.38	2	1	0	0	1	1	66	2	1	6	NA
63768	7	2	1	64	NA	2	2	2	NA	NA	2	NA	2	2	6	NA	2	1	NA	2	2	2	2	2	2	1	2	2	2	8609.250304	9380.869295	2	90	12	12	NA	3	3	0	0	2	2	61	2	3	4	NA
63769	7	2	1	44	NA	2	2	2	NA	NA	2	NA	2	1	3	NA	3	1	NA	1	2	2	1	2	2	2	2	2	2	37883.328863	38044.589557	1	93	15	15	2.96	7	7	0	1	1	2	18	1	2	NA	NA
63771	7	2	1	43	NA	3	3	1	NA	NA	1	1	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	32719.762791	34306.488277	1	101	7	7	2.71	2	2	0	0	0	1	43	1	4	1	4
63772	7	2	1	65	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	136843.962333	135447.112041	1	95	14	14	5	2	2	0	0	2	2	65	1	4	1	4
63773	7	2	1	56	NA	2	2	1	NA	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	31302.008691	30991.200711	2	91	9	9	5	1	1	0	0	0	1	56	1	5	5	NA
63777	7	2	2	41	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	2	5	2	1	2	2	1	2	2	1	2	2	1	30442.30641	30653.986309	1	95	77	77	NA	3	3	0	0	0	2	41	1	2	5	NA
63780	7	2	2	44	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	NA	NA	NA	NA	35126.205635	35295.519265	1	95	7	7	1.17	6	6	1	3	0	2	44	1	4	1	NA
63781	7	2	2	63	NA	2	2	1	NA	NA	2	NA	2	2	2	NA	4	6	NA	1	2	2	1	2	2	2	2	2	2	10680.068244	11125.805824	2	93	15	8	4.48	2	1	0	0	2	2	63	2	4	6	NA
63784	7	2	2	40	NA	1	1	1	NA	NA	2	NA	2	1	6	NA	4	1	2	2	2	2	2	2	2	NA	NA	NA	NA	34954.173075	36023.601038	3	92	9	9	2.46	4	4	0	2	0	1	43	2	3	1	4
63787	7	2	1	30	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	18404.681357	22792.166915	1	95	6	6	0.81	6	6	2	2	0	1	30	1	3	1	4
63788	7	2	2	40	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	3	2	1	2	2	1	2	2	1	2	2	1	123493.356057	126566.961964	1	102	3	3	0.92	1	1	0	0	0	2	40	1	3	3	NA
63793	7	2	2	27	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	3	2	1	2	2	1	2	2	NA	NA	NA	NA	33202.24577	45456.634755	1	99	4	4	1.02	2	2	0	1	0	2	27	1	4	3	NA
63795	7	2	1	59	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	6	NA	1	2	2	1	2	2	1	2	2	1	152467.08796	152281.176016	1	94	10	7	3.76	2	1	0	0	0	1	59	1	4	6	NA
63796	7	2	2	36	NA	5	7	2	NA	NA	2	NA	1	1	NA	NA	5	6	2	1	2	2	1	2	2	1	2	2	1	18901.436377	19274.920746	3	91	15	10	5	2	1	0	0	0	2	36	1	5	6	NA
63799	7	2	1	69	NA	5	6	1	NA	NA	2	NA	2	1	6	NA	3	1	NA	1	2	1	1	2	1	1	2	1	3	10288.337394	12038.909334	3	91	6	6	1.12	4	4	0	0	2	1	69	2	3	1	1
63801	7	2	2	64	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	10192.188896	10440.656902	1	99	6	6	2.3	1	1	0	0	1	2	64	1	5	3	NA
63802	7	2	2	48	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	18462.756377	18043.935864	1	99	7	7	3.4	1	1	0	0	0	2	48	1	5	3	NA
63803	7	2	2	36	NA	1	1	1	NA	NA	2	NA	2	2	3	NA	2	6	2	2	2	2	2	2	2	2	2	2	2	41791.57979	45058.092516	2	102	7	7	1.79	4	4	0	2	0	1	40	2	2	6	NA
63804	7	2	1	61	NA	4	4	2	NA	NA	1	1	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	5729.786464	5774.606655	2	95	14	14	4.58	3	3	0	1	1	1	61	1	4	1	5
63805	7	2	2	53	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	27769.056387	28050.845299	1	94	7	7	1.65	5	4	0	0	0	1	46	1	4	1	4
63806	7	2	1	70	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	38226.070503	39676.327756	1	99	12	12	NA	2	2	0	0	2	1	70	1	5	1	5
63807	7	2	2	61	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	3	3	NA	1	2	2	1	2	2	1	2	2	1	10798.193871	11318.855823	2	95	2	2	0.67	2	2	0	0	1	2	61	1	3	3	NA
63812	7	2	2	47	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	2	6	NA	1	2	2	1	2	2	1	2	2	1	30932.175051	30085.634936	2	101	3	3	0.68	2	2	0	0	0	1	58	1	1	6	NA
63817	7	2	2	47	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	19075.861607	18553.800612	1	96	15	15	5	2	2	0	1	0	2	47	1	5	3	NA
63818	7	2	2	40	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	3	2	1	2	2	1	2	2	NA	NA	NA	NA	35126.205635	36772.568368	1	95	1	1	0.12	3	3	0	2	0	2	40	1	5	3	NA
63820	7	2	2	58	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	15521.115746	15561.208623	2	100	5	5	1.08	3	3	0	0	0	1	38	1	2	5	NA
63825	7	2	1	31	NA	5	6	1	NA	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	20729.794283	21506.407763	3	91	14	14	5	1	1	0	0	0	1	31	1	5	5	NA
63827	7	2	2	52	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	29756.667529	30535.306876	2	98	4	4	1.19	2	2	0	0	0	2	52	1	3	1	NA
63828	7	2	2	64	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	118611.064701	118209.809508	1	91	10	10	4.76	2	2	0	0	2	2	64	1	4	1	5
63829	7	2	2	42	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	NA	NA	NA	NA	80418.665565	83274.564983	2	100	10	10	3.13	4	4	0	2	0	1	45	1	4	1	4
63831	7	2	2	23	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	2	6	2	1	2	2	1	2	2	1	2	2	1	20000.263815	19016.481945	1	102	12	12	NA	7	7	3	2	0	2	52	1	4	5	NA
63832	7	2	1	46	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	133542.212862	137914.897649	3	91	8	8	1.95	4	4	2	0	0	2	30	1	5	1	4
63834	7	2	2	52	NA	4	4	1	NA	NA	2	NA	2	1	6	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	15776.849485	18474.07459	2	93	14	14	2.78	5	5	0	0	0	1	52	2	4	1	2
63837	7	2	2	70	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	2	NA	1	2	2	1	2	2	1	2	2	NA	63504.762752	64182.95787	1	91	10	10	5	1	1	0	0	1	2	70	1	4	2	NA
63838	7	2	2	78	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	25812.913537	27430.822937	2	95	4	4	1.34	1	1	0	0	1	2	78	1	3	2	NA
63839	7	2	1	75	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	1	1	NA	1	2	2	1	2	2	1	2	2	NA	9257.537917	9400.859081	1	99	10	10	2.71	5	5	1	1	2	1	75	1	1	1	3
63841	7	2	1	27	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	59682.963348	63721.06052	2	102	10	10	4.76	2	2	0	0	0	1	27	1	4	1	4
63844	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	28974.537912	30613.083607	1	99	6	6	1.7	2	2	0	0	2	2	77	1	3	1	5
63845	7	2	1	43	NA	3	3	1	NA	NA	1	1	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	28813.038041	29247.173902	1	94	3	3	1.21	1	1	0	0	0	1	43	1	4	3	NA
63847	7	2	1	58	NA	3	3	1	NA	NA	1	2	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	152467.08796	155918.172532	3	91	6	6	2.24	1	1	0	0	0	1	58	1	3	5	NA
63848	7	2	1	31	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	16214.132654	16029.957596	3	90	15	15	4.89	5	5	0	0	0	2	57	2	3	1	3
63849	7	2	1	34	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	71279.707602	73321.195079	1	103	14	14	2.96	5	5	1	2	0	1	34	1	4	1	5
63850	7	2	2	49	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	140084.621651	140222.178533	1	102	10	10	4.76	2	2	0	0	0	1	23	1	5	5	NA
63852	7	2	1	50	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	158509.005274	161135.953834	1	100	15	15	5	4	4	0	1	0	1	50	1	4	1	4
63853	7	2	2	36	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	77299.255327	77536.924917	2	92	15	15	5	2	2	0	0	0	2	36	1	5	1	5
63856	7	2	2	20	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	5	2	1	2	2	1	2	2	1	2	2	1	23845.8146	22808.13483	1	98	2	1	0.13	4	1	0	0	0	2	19	1	4	NA	NA
63858	7	2	2	20	NA	2	2	1	NA	NA	2	NA	2	2	4	NA	2	6	1	2	2	2	2	2	2	2	2	2	2	42621.881199	51089.379491	2	102	8	8	1.09	7	7	1	3	0	2	33	2	1	6	NA
63860	7	2	2	50	NA	5	7	2	NA	NA	2	NA	2	1	7	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	120670.257812	123358.620194	3	90	9	9	3.14	3	3	0	0	0	1	56	2	3	1	3
63861	7	2	1	63	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	138075.879417	141933.339512	2	91	15	15	5	2	2	0	0	1	2	57	1	5	1	5
63862	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	3	6	NA	1	2	2	1	2	2	1	2	2	NA	43004.283229	49692.210403	1	97	NA	77	NA	2	1	0	0	2	1	80	1	3	6	NA
63868	7	2	1	69	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	131445.986898	130104.237054	1	95	10	10	5	1	1	0	0	1	1	69	1	5	3	NA
63871	7	2	2	45	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	18490.479848	18604.849683	2	100	7	7	2.37	3	3	0	1	1	2	45	1	5	1	NA
63872	7	2	2	18	NA	5	6	1	18	218	2	NA	1	1	NA	13	NA	NA	NA	1	2	2	1	2	1	1	2	2	1	6370.316505	6989.133332	2	92	7	7	1.17	6	6	0	1	1	1	78	2	1	1	3
63873	7	2	1	80	NA	4	4	1	NA	NA	1	1	1	1	NA	NA	1	2	NA	1	2	2	1	2	2	1	2	2	NA	8763.51401	9280.560292	2	100	5	3	1.29	3	1	0	0	2	2	80	1	1	2	NA
63875	7	2	2	64	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	2	2	NA	1	2	2	1	2	2	1	2	2	1	10266.896689	11139.888992	1	96	3	3	1.25	1	1	0	0	1	2	64	1	2	2	NA
63877	7	2	2	20	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	5	2	1	2	2	1	2	2	1	2	2	1	30275.274308	29672.504425	2	101	12	1	0.32	4	1	0	0	0	2	20	1	4	5	NA
63879	7	2	1	76	NA	3	3	2	NA	NA	1	2	1	1	NA	NA	5	2	NA	1	2	2	1	2	2	1	2	2	NA	38226.070503	39676.327756	1	99	7	7	3.31	1	1	0	0	1	1	76	1	5	2	NA
63880	7	2	2	77	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	NA	53541.401974	54961.757487	1	99	7	7	2.72	2	2	0	0	2	1	77	1	2	1	3
63881	7	2	2	25	NA	3	3	2	NA	NA	2	NA	2	2	2	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	50197.83865	52206.228199	1	93	12	6	2.75	4	1	0	0	0	2	25	2	5	5	NA
63882	7	2	1	43	NA	5	6	1	NA	NA	2	NA	2	2	6	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	15271.238172	15754.77307	3	91	15	15	5	3	3	0	1	0	2	44	2	5	1	5
63887	7	2	2	64	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	1	94637.019439	107051.932277	1	94	7	7	3.13	1	1	0	0	1	2	64	1	3	2	NA
63889	7	2	1	48	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	28813.038041	29425.409675	1	94	1	1	0.36	1	1	0	0	0	1	48	1	3	5	NA
